"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"563","Fresa Cerámica Ref-FRE07","Ref-FRE-07","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/3/563-large_default.jpg"
"564","Fresa Cerámica Ref-FRE08","Ref-FRE-08","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/4/564-large_default.jpg"
"565","Fresa Cerámica Ref-FRE14","Ref-FRE-14","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/5/565-large_default.jpg"
"566","Fresa Cerámica Ref-FRE17","Ref-FRE-17","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/6/566-large_default.jpg"
"567","Fresa Cerámica Ref-FRE18","Ref-FRE-17","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/7/567-large_default.jpg"
"568","Fresa Cerámica Ref-FRE19","Ref-FRE-17","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/8/568-large_default.jpg"
"569","Fresa Cerámica Ref-FRE20","Ref-FRE-20","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/6/9/569-large_default.jpg"
"570","Fresa Cerámica Ref-FRE21","Ref-FRE-21","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/0/570-large_default.jpg"
"571","Fresa Cerámica Ref-FRE30","Ref-FRE-30","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/1/571-large_default.jpg"
"572","Fresa Cerámica Ref-FRE31","Ref-FRE-31","7.809000","999","Cerámica","https://wemmiprofesional.com/img/p/5/7/2/572-large_default.jpg"
"573","Fresa Cerámica Ref-FRE41","Ref-FRE-41","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/3/573-large_default.jpg"
"574","Fresa Cerámica Ref-FRE42","Ref-FRE-42","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/4/574-large_default.jpg"
"575","Fresa Cerámica Ref-FRE43","Ref-FRE-43","7.809000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/5/575-large_default.jpg"
"576","Fresa Cerámica Ref-FRE44","Ref-FRE-44","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/6/576-large_default.jpg"
"577","Fresa Cerámica Ref-FRE45","Ref-FRE-44","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/7/577-large_default.jpg"
"578","Fresa Cerámica Ref-FRE46","Ref-FRE-46","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/8/578-large_default.jpg"
"579","Fresa Cerámica Ref-FRE47","Ref-FRE-47","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/7/9/579-large_default.jpg"
"580","Fresa Carburo de Tungsteno  Ref-FRE04","Ref-FRE-04","0.000000","1000","Cerámica","https://wemmiprofesional.com/img/p/5/8/0/580-large_default.jpg"
